born_in	category	country	date_of_birth	date_of_death	gender	link	name	place_of_birth	place_of_death	text	year	award_age
	Peace	Myanmar (Burma)	1945-06-19		female	http://en.wikipedia.org/wiki/Aung_San_Suu_Kyi	Aung San Suu Kyi	Rangoon ,  Myanmar		Aung San Suu Kyi , Peace, 1991	1991	46
	Peace	Mexico	1911-03-20	1991-09-02	male	http://en.wikipedia.org/wiki/Alfonso_Garc%C3%ADa_Robles	Alfonso García Robles	Zamora ,  Michoacán ,  Mexico		Alfonso García Robles , Peace, 1982	1982	71
	Literature	Mexico	1914-03-31	1998-04-19	male	http://en.wikipedia.org/wiki/Octavio_Paz	Octavio Paz Lozano	Mexico City , Mexico	Mexico City , Mexico	Octavio Paz Lozano , Literature, 1990	1990	76
Mexico	Chemistry	Mexico	1943-03-19		male	http://en.wikipedia.org/wiki/Mario_J._Molina	Mario José Molina Henríquez	Mexico City ,  Mexico		Mario José Molina Henríquez *, Chemistry, 1995	1995	52
	Peace	Liberia	1972-02-01		female	http://en.wikipedia.org/wiki/Leymah_Gbowee	Leymah Gbowee	Central  Liberia		Leymah Gbowee , Peace, 2011	2011	39
	Peace	Liberia	1938-10-29		female	http://en.wikipedia.org/wiki/Ellen_Johnson_Sirleaf	Ellen Johnson Sirleaf	Monrovia , Liberia		Ellen Johnson Sirleaf , Peace, 2011	2011	73
	Peace	Korea, South	1925-12-03	2009-08-18	male	http://en.wikipedia.org/wiki/Kim_Dae-jung	Kim Dae-jung	Haui-do ,  South Jeolla , Japanese Korea	Seoul , South Korea	Kim Dae-jung , Peace, 2000	2000	75
	Peace	Kenya	1940-04-01	2011-09-25	female	http://en.wikipedia.org/wiki/Wangari_Muta_Maathai	Wangari Muta Maathai	Ihithe  village,  Nyeri District , Kenya	Nairobi, Kenya	Wangari Muta Maathai , Peace, 2004	2004	64
	Literature	Spain	1866-08-12	1954-07-14	male	http://en.wikipedia.org/wiki/Jacinto_Benavente	Jacinto Benavente	Madrid , Spain	Madrid , Spain	Jacinto Benavente , Literature, 1922	1922	56
	Literature	Spain	1881-12-24	1958-05-29	male	http://en.wikipedia.org/wiki/Juan_Ram%C3%B3n_Jim%C3%A9nez	Juan Ramón Jiménez	Moguer ,  Spain	Santurce ,  Puerto Rico	Juan Ramón Jiménez , Literature, 1956	1956	75
	Literature	Spain	1898-04-26	1984-12-13	male	http://en.wikipedia.org/wiki/Vicente_Aleixandre	Vicente Aleixandre	Seville ,  Spain	Madrid ,  Spain	Vicente Aleixandre , Literature, 1977	1977	79
	Literature	Spain	1916-05-11	2002-01-17	male	http://en.wikipedia.org/wiki/Camilo_Jos%C3%A9_Cela	Camilo José Cela	Padrón, Galicia, Spain	Madrid, Spain	Camilo José Cela , Literature, 1989	1989	73
	Physiology or Medicine	South Africa	1899-01-30	1972-08-11	male	http://en.wikipedia.org/wiki/Max_Theiler	Max Theiler	Pretoria ,  South Africa	New Haven, Connecticut	Max Theiler , Physiology or Medicine, 1951	1951	52
	Peace	South Africa	1898-01-01	1967-07-21	male	http://en.wikipedia.org/wiki/Albert_Lutuli	Albert Lutuli	Bulawayo ,  Southern Rhodesia ,  Africa	Stanger ,  KwaZulu-Natal ,  South Africa ,  Africa	Albert Lutuli , Peace, 1960	1960	62
	Peace	South Africa	1931-10-07		male	http://en.wikipedia.org/wiki/Desmond_Tutu	Desmond Tutu	Klerksdorp ,  Western Transvaal , South Africa		Desmond Tutu , Peace, 1984	1984	53
	Literature	South Africa	1923-11-23	2014-07-13	female	http://en.wikipedia.org/wiki/Nadine_Gordimer	Nadine Gordimer	Springs, Gauteng ,  Johannesburg ,  South Africa	Johannesburg, South Africa	Nadine Gordimer , Literature, 1991	1991	68
	Peace	South Africa	1918-07-18	2013-12-05	male	http://en.wikipedia.org/wiki/Nelson_Mandela	Nelson Mandela	Mvezo ,  Cape Province ,  Union of South Africa	Johannesburg , South Africa	Nelson Mandela , Peace, 1993	1993	75
	Peace	South Africa	1936-03-18		male	http://en.wikipedia.org/wiki/Frederik_Willem_de_Klerk	F.W. de Klerk	Johannesburg, South Africa		F.W. de Klerk , Peace, 1993	1993	57
	Literature	South Africa	1940-02-09		male	http://en.wikipedia.org/wiki/J._M._Coetzee	J. M. Coetzee	Cape Town, South Africa		J. M. Coetzee , Literature, 2003	2003	63
Bulgaria	Literature	United Kingdom	1905-07-25	1994-08-14	male	http://en.wikipedia.org/wiki/Elias_Canetti	Elias Canetti	Rousse ,  Bulgaria	Zurich, Switzerland	Elias Canetti ,  born in Bulgaria , Literature, 1981	1981	76
	Physiology or Medicine	United Kingdom	1927-03-29	2004-11-19	male	http://en.wikipedia.org/wiki/John_Robert_Vane	John Robert Vane	Tardebigge ,  Worcestershire	Princess Royal University Hospital ,  Kent	John Robert Vane , Physiology or Medicine, 1982	1982	55
Lithuania	Chemistry	United Kingdom	1926-08-11		male	http://en.wikipedia.org/wiki/Aaron_Klug	Aaron Klug	Želva, Lithuania		Aaron Klug ,  born in Lithuania , Chemistry, 1982	1982	56
	Literature	United Kingdom	1911-09-19	1993-06-19	male	http://en.wikipedia.org/wiki/William_Golding	William Golding	St. Columb Minor , Newquay, Cornwall, UK	Perranarworthal , Cornwall, UK	William Golding , Literature, 1983	1983	72
	Economics	United Kingdom	1913-08-30	1991-12-06	male	http://en.wikipedia.org/wiki/Richard_Stone	Richard Stone	London, England	Cambridge, England	Richard Stone , Economics, 1984	1984	71
	Physiology or Medicine	United Kingdom	1924-06-14	2010-03-22	male	http://en.wikipedia.org/wiki/James_W._Black	James W. Black	Uddingston, Lanarkshire, Scotland	London	James W. Black , Physiology or Medicine, 1988	1988	64
	Physiology or Medicine	United Kingdom	1943-09-06		male	http://en.wikipedia.org/wiki/Richard_J._Roberts	Richard J. Roberts	Derby , England, UK		Richard J. Roberts , Physiology or Medicine, 1993	1993	50
Poland	Peace	United Kingdom	1908-11-04	2005-08-31	male	http://en.wikipedia.org/wiki/Joseph_Rotblat	Joseph Rotblat	Warsaw ,  Poland	London ,  England	Joseph Rotblat ,  born in then Russian Empire, now Poland , Peace, 1995	1995	87
	Economics	United Kingdom	1936-07-05		male	http://en.wikipedia.org/wiki/James_A._Mirrlees	James A. Mirrlees	Minnigaff, Kirkcudbrightshire, Scotland		James A. Mirrlees , Economics, 1996	1996	60
	Chemistry	United Kingdom	1939-10-07		male	http://en.wikipedia.org/wiki/Harold_Kroto	Harold Kroto	Wisbech ,  Cambridgeshire , England		Harold Kroto , Chemistry, 1996	1996	57
	Chemistry	United Kingdom	1941-01-07		male	http://en.wikipedia.org/wiki/John_E._Walker	John E. Walker	Halifax ,  West Yorkshire ,  England .		John E. Walker , Chemistry, 1997	1997	56
	Chemistry	United Kingdom	1925-10-31	2004-03-15	male	http://en.wikipedia.org/wiki/John_Pople	John Pople	Burnham-on-Sea ,  Somerset ,  England	Chicago ,  Illinois ,  United States	John Pople , Chemistry, 1998	1998	73
	Physiology or Medicine	United Kingdom	1857-11-27	1952-03-04	male	http://en.wikipedia.org/wiki/Charles_Scott_Sherrington	Charles Scott Sherrington	Islington ,  London ,  England	Eastbourne ,  Sussex ,  England	Charles Scott Sherrington , Physiology or Medicine, 1932	1932	75
	Physics	United Kingdom	1902-08-08	1984-10-20	male	http://en.wikipedia.org/wiki/Paul_Dirac	Paul Dirac	Bristol , England	Tallahassee, Florida , US	Paul Dirac , Physics, 1933	1933	31
	Peace	United Kingdom	1872-12-26	1967-10-07	male	http://en.wikipedia.org/wiki/Norman_Angell	Norman Angell	Holbeach , England	Croydon , Surrey, England	Norman Angell , Peace, 1933	1933	61
	Peace	United Kingdom	1863-09-13	1935-10-20	male	http://en.wikipedia.org/wiki/Arthur_Henderson	Arthur Henderson	Glasgow ,  Scotland	London ,  England	Arthur Henderson , Peace, 1934	1934	71
	Physics	United Kingdom	1891-10-20	1974-07-24	male	http://en.wikipedia.org/wiki/James_Chadwick	James Chadwick	Bollington, Cheshire, England	Cambridge, England	James Chadwick , Physics, 1935	1935	44
	Physiology or Medicine	United Kingdom	1875-06-09		male	http://en.wikipedia.org/wiki/Henry_Hallett_Dale	Henry Hallett Dale	London ,  England	Cambridge , England	Henry Hallett Dale , Physiology or Medicine, 1936	1936	61
	Chemistry	United Kingdom	1883-03-19	1950-03-19	male	http://en.wikipedia.org/wiki/Norman_Haworth	Norman Haworth	90 Park Road,  Chorley ,  Lancashire ,  England	Barnt Green ,  Worcestershire ,  England	Norman Haworth , Chemistry, 1937	1937	54
	Peace	United Kingdom	1864-09-14	1958-11-24	male	http://en.wikipedia.org/wiki/Robert_Cecil,_1st_Viscount_Cecil_of_Chelwood	Robert Cecil			Robert Cecil, 1st Viscount Cecil of Chelwood , Peace, 1937	1937	73
	Physics	United Kingdom	1892-05-03	1975-09-10	male	http://en.wikipedia.org/wiki/George_Paget_Thomson	George Paget Thomson	Cambridge ,  UK	Cambridge ,  UK	George Paget Thomson , Physics, 1937	1937	45
